ID,TIMESTAMP,L0013,L0002,L0005,L0008,ZD_P,FD_R,L0014,L0015,L0016,L0018,L0019,L0020,L0039,L0040,L0041,L0042,L0049,L0050,L0070,L0069,L0064,L0052,L0057,L0058,L0059,L0054,L0055,L0056,L0136,L0137,L0138,L0139,L0140,L0141,L0142,L0143,L0144,L0145,L0146,L0147
37652398,1655213321786 ,315.5382,0,155.2952,5.121528,4645.35338,160.416728,94.17,93.1,91.6,54.16,2.074291,2.074291,-282.6973,200.3472,-388.0205,194.1551,3231.192,8.59375,-3570.313,100.48,353.3246,95.8478,142.175,88.90741,172.8296,42.60416,41.00695,41.25,1.811342,1.145834,1.545138,58.40278,59.75695,55.625,129.2303,157.67,147.4317,2.24537,2.193288,2.24537
37652399,1655213323786 ,310.4745,0,155.9896,5.121528,4570.805589,161.111128,94.17,93.1,91.6,54.16,1.929615,1.929615,-278.9346,201.0417,-388.0205,195.0231,3240.597,10.48901,-3577.836,100.48,351.8634,95.63079,142.9731,92.16943,167.9704,42.53472,41.26736,42.65625,1.782408,1.15162,1.527778,60,58.66319,56.63194,129.5585,159.8266,143.169,2.1875,2.193288,2.24537
37652400,1655213325786 ,301.2153,0,154.9479,5.121528,4434.491647,160.069428,94.15,93.1,91.65,54.18,2.016421,2.016421,-312.7891,201.0417,-388.0205,195.0231,3208.623,10.22859,-3559.027,100.48,351.8634,96.71586,144.4362,93.17316,159.2,42.01389,40.79861,42.1875,1.799768,1.122685,1.498842,60,60,57.27431,128.738,157.5042,146.4028,2.204862,2.152778,2.239584
37652401,1655213327786 ,309.0278,0,154.4271,5.121528,4549.507272,159.548628,94.17,93.1,91.65,54.18,2.146629,2.146629,-278.9346,201.3889,-372.9746,195.0231,3229.312,8.680555,-3555.267,100.48,353.3246,94.83508,146.2984,74.85556,174.3704,41.44097,42.56944,41.64931,1.840278,1.19213,1.585648,57.91667,53.57639,57.03125,130.0508,157.5042,144.4919,2.233796,2.239584,2.262732
37652402,1655213329786 ,301.5046,0,155.2952,5.208333,4438.750721,160.503533,94.17,93.1,91.62,54.16,2.074291,2.074291,-312.7891,201.0417,-395.5439,195.0231,3197.337,9.201388,-3551.504,100.48,353.3246,96.13715,136.8544,88.40555,179.2296,42.29167,41.05903,40.97222,1.799768,1.145834,1.539352,56.49305,56.33681,57.03125,129.7226,158.3336,144.4919,2.216435,2.1875,2.24537
37652403,1655213331786 ,318.4317,0,155.4688,5.121528,4687.951487,160.590328,94.17,93.1,91.62,54.16,2.074291,2.074291,-282.6973,201.7361,-395.5439,195.0231,3212.383,9.505209,-3551.504,100.48,351.8634,96.86053,141.2439,93.92593,168.8,42.20486,41.14583,42.48264,1.828704,1.15162,1.516204,56.63194,53.76736,57.74306,127.2612,160.9878,145.2268,2.216435,2.193288,2.239584
37652404,1655213333786 ,319.8784,0,155.0347,5.208333,4709.249805,160.243033,94.2,93.1,91.62,54.16,2.030888,2.030888,-297.7432,201.7361,-391.7822,195.6019,3214.265,8.608217,-3559.027,100.59,350.6944,97.3669,143.7711,90.16202,173.3037,42.69097,41.52778,42.30903,1.770834,1.163195,1.516204,56.18056,54.27083,58.59375,132.5121,157.3383,143.904,2.1875,2.204862,2.251158
37652405,1655213335785 ,307.581,0,155.0347,5.121528,4528.207482,160.156228,94.17,93.12,91.65,54.18,2.088759,2.088759,-305.2666,201.7361,-391.7822,195.8912,3199.219,8.058449,-3547.743,100.59,351.8634,94.76273,145.8994,76.86298,173.7778,42.30903,42.72569,41.31944,1.805555,1.122685,1.516204,56.23264,60,55.39931,130.2149,158.1677,143.7569,2.210648,2.175926,2.239584
37652406,1655213337786 ,311.632,0,155.0347,5.208333,4587.846304,160.243033,94.17,93.12,91.65,54.18,2.030888,2.030888,-297.7432,202.7778,-395.5439,195.8912,3208.623,10.90856,-3555.267,100.59,354.7859,96.28183,130.8687,86.27267,179.4667,44.16667,41.31944,41.31944,1.83449,1.180555,1.550926,56.23264,57.58681,54.72222,130.5431,158.3336,143.463,2.24537,2.222222,2.268518
37652407,1655213339786 ,310.6192,0,154.8611,5.121528,4572.935862,159.982628,94.2,93.12,91.62,54.18,2.001953,2.001953,-275.1738,201.7361,-361.6904,195.8912,3240.595,11.37153,-3559.027,100.59,357.1238,96.28183,139.1156,96.43518,163.9408,41.875,41.38889,42.8125,1.77662,1.111112,1.498842,55.57292,58.69792,56.92708,125.4562,159.8266,145.6678,2.1875,2.152778,2.239584
37652408,1655213341786 ,306.2789,0,155.5556,5.121528,4509.037966,160.677128,94.2,93.12,91.65,54.16,2.152416,2.152416,-293.9814,203.125,-369.2129,195.8912,3227.43,10.57581,-3559.027,100.59,357.1238,96.57117,145.7664,85.77081,169.2741,41.33681,42.65625,42.11806,1.846065,1.174768,1.539352,56.33681,59.65278,56.44097,128.738,158.9971,146.2558,2.233796,2.193288,2.251158
37652409,1655213343785 ,313.9467,0,153.7326,5.121528,4621.923317,158.854128,94.2,93.12,91.62,54.18,2.016421,2.016421,-293.9814,203.125,-391.7822,195.8912,3212.385,8.564815,-3555.267,100.59,357.7083,97.22222,143.2391,87.52731,170.9333,43.24653,42.13541,41.64931,1.799768,1.15162,1.510416,56.52778,60,56.33681,128.0817,159.163,147.1377,2.210648,2.193288,2.24537
37652410,1655213345787 ,307.4363,0,156.25,5.208333,4526.077209,161.458333,94.2,93.12,91.67,54.18,1.929615,1.929615,-305.2666,202.7778,-380.4971,196.7592,3212.385,8.984375,-3555.267,100.59,354.7859,95.48611,133.13,86.77454,173.4222,42.70834,43.3507,41.09375,1.805555,1.163195,1.510416,59.14931,54.42709,55.79861,131.1994,158.0018,143.022,2.222222,2.193288,2.239584
37652411,1655213347786 ,305.5555,0,154.9479,5.121528,4498.388071,160.069428,94.2,93.12,91.67,54.18,2.071398,2.071398,-286.458,203.4722,-388.0205,196.7592,3218.027,11.89236,-3555.267,100.59,351.8634,97.58392,144.4362,92.79675,168.2074,42.01389,42.01389,42.53472,1.747685,1.13426,1.527778,60,51.30208,56.75347,130.8712,156.8406,142.728,2.204862,2.175926,2.239584
37652412,1655213349786 ,296.4409,0,155.5556,5.208333,4364.20293,160.763933,94.2,93.12,91.65,54.18,2.218967,2.218967,-301.5039,203.125,-361.6904,196.7592,3223.669,9.042245,-3555.267,100.59,350.6944,97.80093,144.9683,86.89999,171.763,41.77084,41.9618,41.49305,1.828704,1.13426,1.516204,58.02083,54.96528,57.79514,130.2149,156.343,141.6991,2.158565,2.1875,2.239584
37652413,1655213351786 ,301.2153,0,153.8194,5.121528,4434.491647,158.940928,94.2,93.12,91.67,54.18,2.161097,2.161097,-316.5508,203.4722,-380.4971,196.7592,3202.98,9.982638,-3551.504,100.59,350.6944,96.28183,145.5004,86.39816,172.237,42.20486,41.42361,41.52778,1.811342,1.122685,1.52199,58.28125,54.46181,54.77431,128.4099,159.3289,150.0775,2.210648,2.1875,2.239584
37652414,1655213353786 ,303.2408,0,155.2952,5.121528,4464.311058,160.416728,94.22,93.12,91.65,54.18,2.103226,2.103226,-305.2666,203.4722,-376.7363,196.7592,3218.026,10.19965,-3559.027,100.59,350.6944,94.76273,138.8496,88.65646,171.5259,43.55903,41.38889,41.04167,1.811342,1.180555,1.52199,57.82986,57.84722,56.875,130.2149,157.3383,145.2268,2.239584,2.210648,2.239584
37652415,1655213355786 ,311.3426,0,153.9931,5.121528,4583.585757,159.114628,94.22,93.15,91.67,54.18,2.103226,2.103226,-297.7432,203.8194,-369.2129,196.7592,3218.026,10.73495,-3551.504,100.59,351.8634,97.72858,143.5051,91.41669,151.8519,41.85764,40.83334,41.38889,1.805555,1.122685,1.516204,56.05903,56.57986,56.45833,130.8712,157.5042,143.463,2.193288,2.1875,2.239584
37652416,1655213357785 ,307.7257,0,155.816,5.121528,4530.337755,160.937528,94.2,93.15,91.7,54.18,2.218967,2.218967,-301.5039,204.5139,-380.4971,197.338,3214.266,8.709491,-3555.267,100.59,351.279,96.93288,146.9635,77.74121,174.7259,41.73611,42.65625,41.64931,1.75926,1.15162,1.487268,56.0243,58.97569,56.97917,126.933,157.5042,143.169,2.1875,2.181712,2.239584
37652417,1655213359786 ,295.1389,0,155.9028,5.121528,4345.034886,161.024328,94.2,93.15,91.67,54.18,2.120588,2.120588,-331.5977,204.5139,-372.9746,197.338,3214.265,9.534143,-3566.551,100.59,350.6944,96.71586,140.4458,89.40924,173.7778,42.17014,41.68403,41.00695,1.770834,1.09375,1.481482,56.40625,59.39236,56.33681,129.7226,158.8313,144.4919,2.216435,2.158565,2.222222
37652418,1655213361786 ,309.7512,0,154.6875,5.121528,4560.157166,159.809028,94.22,93.15,91.65,54.18,2.095993,2.095993,-267.6504,204.5139,-380.4971,197.0486,3242.477,9.331597,-3566.551,100.71,350.6944,95.8478,136.8544,91.54211,172.1185,42.51736,42.04861,41.64931,1.75926,1.122685,1.487268,56.75347,57.32639,56.26736,128.4099,158.1677,144.0509,2.193288,2.164352,2.24537
